user_id,gender,has_name,has_ava,has_bio,has_geo,has_birth,reg_time,sunshine,blog_num,followe,follower,FFR,weibo_level,vip_level,certify,avg_com,avg_ret,label
6996511459,m,0,0,0,0,0,20190203,2,43,0,1,0,4,0,0,0,0,0
6997145844,m,0,0,0,0,0,20190203,2,43,0,1,0,4,0,0,0,0,0
6997146095,m,0,0,0,0,0,20190203,2,43,0,1,0,4,0,0,0,0,0
6983540299,m,0,0,0,0,0,20190128,2,42,0,1,0,4,0,0,0,0,0
6983540468,m,0,0,0,0,0,20190128,2,42,0,1,0,4,0,0,0,0,0
6983540469,m,0,0,0,0,0,20190128,2,42,0,1,0,4,0,0,0,0,0
6983540559,m,0,0,0,0,0,20190128,2,42,0,1,0,4,0,0,0,0,0
6595414572,m,0,0,0,0,0,20190203,2,42,0,1,0,4,0,0,0,0,0
6704064167,m,0,0,0,0,0,20190118,3,42,6,1,6,4,0,0,0,0,0
6503385149,m,0,0,0,0,0,20190203,2,41,0,1,0,4,0,0,0,0,0
6910468790,m,0,0,0,0,0,20190119,3,41,3,1,3,4,0,0,0,0,0
6910473066,m,0,0,0,0,0,20190119,3,41,3,1,3,4,0,0,0,0,0
6910473359,m,0,0,0,0,0,20190120,3,41,3,1,3,4,0,0,0,0,0
6904446031,m,0,0,0,0,0,20190119,3,41,6,1,6,4,0,0,0,0,0
6775111728,f,0,0,0,1,2,20181018,2,41,7,2,3.5,3,0,0,0,0,0
6996511493,m,0,0,0,0,0,20190203,2,40,0,1,0,4,0,0,0,0,0
6905082709,m,0,0,0,0,0,20190120,3,40,6,1,6,4,0,0,0,0,0
6894783907,m,0,0,0,0,0,20190119,3,39,6,1,6,4,0,0,0,0,0
7005552908,m,0,0,0,0,0,20190203,2,38,0,1,0,4,0,0,0,0,0
6751356253,m,0,0,0,1,2,20181009,2,38,0,1,0,4,0,0,0,0,0
6927115156,m,0,0,0,0,0,20181229,2,36,0,1,0,4,0,0,0,0,0
6983605700,m,0,0,0,0,0,20190203,2,36,0,1,0,4,0,0,0,0,0
6996512085,m,0,0,0,0,0,20190203,2,36,0,1,0,4,0,0,0,0,0
6926993603,m,0,0,0,0,0,20181229,2,35,0,1,0,4,0,0,0,0,0
6772463650,m,0,0,0,0,0,20190203,2,33,0,1,0,4,0,0,0,0,0
6962523391,m,0,0,0,0,0,20190203,2,33,0,1,0,4,0,0,0,0,0
6996511203,m,0,0,0,0,0,20190203,2,32,0,1,0,4,0,0,0,0,0
6965441672,m,0,0,0,0,0,20190226,2,32,0,1,0,4,0,0,0,0,0
6997144540,m,0,0,0,0,0,20190203,2,31,0,1,0,3,0,0,0,0,0
6783001543,f,0,0,0,1,2,20181020,2,31,2,1,2,2,0,0,0,0,0
6974920903,m,0,0,0,0,0,20190118,2,30,0,1,0,4,0,0,0,0,0
6983605901,m,0,0,0,0,0,20190203,2,30,0,1,0,4,0,0,0,0,0
6651331323,m,0,0,0,0,0,20190203,2,29,0,1,0,4,0,0,0,0,0
6935018878,m,0,0,0,0,0,20190102,2,27,0,1,0,4,0,0,0,0,0
6942250170,m,0,0,0,0,0,20190102,2,27,0,1,0,4,0,0,0,0,0
6942321217,m,0,0,0,0,0,20190102,2,27,0,1,0,4,0,0,0,0,0
6982867938,m,0,0,0,0,0,20190120,2,27,0,1,0,3,0,0,0,0,0
6982868185,m,0,0,0,0,0,20190120,2,27,0,1,0,4,0,0,0,0,0
6982933168,m,0,0,0,0,0,20190120,2,27,0,1,0,3,0,0,0,0,0
